Type,Name,Comment
int,--vae-tile-size-x → vae_tiling_params.tile_size_x,VAE tile width. Sensible default 256.
int,--vae-tile-size-y → vae_tiling_params.tile_size_y,VAE tile height. Sensible default 256.
float,--vae-tile-overlap → vae_tiling_params.target_overlap,Overlap fraction between tiles. Default 0.5.
Cache,sd_cache_params_t (on sd_vid_gen_params_t.cache),
enum sd_cache_mode_t,--cache-mode → cache.mode,"Diffusion-step cache strategy (none / per-step / etc.)."
float,--cache-threshold → cache.reuse_threshold,Reuse threshold for the cache.
CLI Level No Internal,,
int,--fps → SDGenerationParams.fps,"Encoder-side fps only — passed to the MJPG-AVI muxer at write time, never to the model. The model itself is fps-agnostic."
std::string,-o / --output → SDCliParams.output_path,Output path. The vid_gen muxer always appends .avi regardless of extension.
SDMode,-M / --mode → SDCliParams.mode,"Picks the call target: VID_GEN → generate_video() with img2vid branch (init_image populated, end_image empty)."
